country,date,inflation_rate,mom_change,yoy_change,ma_3m,stddev_12m
Japan,2014-07-01,98.1,0.10204081632653061200,3.48101265822784810100,98.0666666666666667,1.2427669519944988
Japan,2014-08-01,98.3,0.20387359836901121300,3.36487907465825446900,98.1333333333333333,1.3018343701380477
Japan,2014-09-01,98.5,0.20345879959308240100,3.24947589098532494800,98.3000000000000000,1.3540064007726600
Japan,2014-10-01,98.2,-0.30456852791878172600,2.82722513089005235600,98.3333333333333333,1.3365208112064244
Japan,2014-11-01,97.9,-0.30549898167006110000,2.51308900523560209400,98.2000000000000000,1.2594792093511821
Japan,2014-12-01,97.9,0.00000000000000000000,2.40585774058577405900,98.0000000000000000,1.1548317468949161
Japan,2015-01-01,97.8,-0.10214504596527068400,2.40837696335078534000,97.8666666666666667,0.97929318976246920245
Japan,2015-02-01,97.6,-0.20449897750511247400,2.19895287958115183200,97.7666666666666667,0.71329368340668683359
Japan,2015-03-01,97.9,0.30737704918032786900,2.29885057471264367800,97.7666666666666667,0.25584085962673252117
Japan,2015-04-01,98.4,0.51072522982635342200,0.71647901740020470800,97.9666666666666667,0.26097137890209456082
Japan,2015-05-01,98.7,0.30487804878048780500,0.61162079510703363900,98.3333333333333333,0.32039275140289168458
Japan,2015-06-01,98.4,-0.30395136778115501500,0.40816326530612244900,98.5000000000000000,0.32879486097878811898
Japan,2015-07-01,98.3,-0.10162601626016260200,0.20387359836901121300,98.4666666666666667,0.33154825052206567817
Japan,2015-08-01,98.4,0.10172939979654120000,0.10172939979654120000,98.3666666666666667,0.33665016461206926511
Japan,2015-09-01,98.5,0.10162601626016260200,0.00000000000000000000,98.4000000000000000,0.33665016461206926511
Japan,2015-10-01,98.5,0.00000000000000000000,0.30549898167006110000,98.4666666666666667,0.35021638332824344259
Japan,2015-11-01,98.1,-0.40609137055837563500,0.20429009193054136900,98.3666666666666667,0.33967453227875044620
Japan,2015-12-01,98.1,0.00000000000000000000,0.20429009193054136900,98.2333333333333333,0.32787192621510003262
Japan,2016-01-01,97.7,-0.40774719673802242600,-0.10224948875255623700,97.9666666666666667,0.34067668846078397416
Japan,2016-02-01,97.8,0.10235414534288638700,0.20491803278688524600,97.8666666666666667,0.31139957766460918837
Japan,2016-03-01,97.9,0.10224948875255623700,0.00000000000000000000,97.8000000000000000,0.31139957766460918837
Japan,2016-04-01,98.1,0.20429009193054136900,-0.30487804878048780500,97.9333333333333333,0.30883456393154552284
Japan,2016-05-01,98.2,0.10193679918450560700,-0.50658561296859169200,98.0666666666666667,0.26742316936860858906
Japan,2016-06-01,98.1,-0.10183299389002036700,-0.30487804878048780500,98.1333333333333333,0.25746432527221861282
Japan,2016-07-01,97.9,-0.20387359836901121300,-0.40691759918616480200,98.0666666666666667,0.26097137890209456082
