country,date,inflation_rate,mom_change,yoy_change,ma_3m,stddev_12m
United States,2007-01-09,2.755052,-96.86798350600972032200,-0.85386423317579411700,30.8964316666666667,44.5107651784012000
United States,2007-01-10,88.15233,3099.6612042168351100,1.08860896232619439900,59.6238473333333333,44.5931239329509501
United States,2007-01-10,3.536175,-95.98856320644048773300,37.39670986911046638400,31.4811856666666667,44.5102738413928073
United States,2007-01-11,88.67592,2407.6790600012725600,1.07142002304643823100,60.1214750000000000,44.5925368517832660
United States,2007-01-11,4.306203,-95.14388686353634673300,60.03049578128065929800,32.1727660000000000,44.4542505606091007
United States,2007-01-12,88.61642,1957.8783675548969700,0.80823898911029096700,60.5328476666666667,44.5163043140837281
United States,2007-01-12,4.081269,-95.39445511339772019700,51.88728257657688503100,32.3346306666666667,44.3959135994984391
United States,2008-01-01,89.0569,2082.0884631716262800,1.33509596845007548100,60.5848630000000000,44.4985137835832618
United States,2008-01-01,4.280294,-95.19375365637025317500,81.50444125278651667300,32.4728210000000000,44.3312075013763841
United States,2008-01-02,89.31554,1986.6683456790584900,1.81611538216008681900,60.8842446666666667,44.4699242410443684
United States,2008-01-02,4.026556,-95.49176324747070890500,104.3850944351075600,32.5407966666666667,44.2881641288181421
United States,2008-01-03,90.08974,2137.3894713000390400,2.41641595849946159900,61.1439453333333333,44.4741130624677100
United States,2008-01-03,3.981456,-95.58056666608206439500,44.51473148238218371200,32.6992506666666667,44.3659587188474147
United States,2008-01-04,90.63612,2176.4566530435097100,2.81761128718889222800,61.5691053333333333,44.5831586999815357
United States,2008-01-04,3.93689,-95.65637849457809976900,11.33187695744695893200,32.8514886666666667,44.5480122127715477
United States,2008-01-05,91.39935,2221.6129990931928500,3.07121707899957508200,61.9907866666666667,44.7873170054495731
United States,2008-01-05,4.175543,-95.43153972101552144500,-3.03422760143913326900,33.1705943333333333,44.7986483680798299
United States,2008-01-06,92.32038,2110.9790271588629300,4.17976713570690398000,62.6317576666666667,45.1232900523012493
United States,2008-01-06,5.02179,-94.56047516268888841200,23.04481767803102417400,33.8392376666666667,45.0421882978543259
United States,2008-01-07,92.80516,1748.0494007116984200,4.20883727145229622900,63.3824433333333333,45.3694890777165223
United States,2008-01-07,5.600123,-93.96572022503921118200,30.83500806253028413500,34.4756910000000000,45.2562100117572259
United States,2008-01-08,92.43472,1550.5837461070051500,3.49231499915916088100,63.6133343333333333,45.5246475184434216
United States,2008-01-08,5.371855,-94.18848783227774152400,33.41066161752127624700,34.4688993333333333,45.4079258922234201
United States,2008-01-09,92.30688,1618.3427326314652900,2.46103496358186847900,63.3711516666666667,45.5982113085748715
United States,2008-01-09,4.936927,-94.65161535088175442600,23.99802986646091279200,34.2052206666666667,45.5144833616694245
United States,2008-01-10,91.37446,1750.8367654615918000,0.81462004331165102800,62.8727556666666667,45.5772083883756249
